Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
0,180,2,2,4,2.0,1,3,0,0,450000,5,9,5
2,140,2,1,3,0.0,1,3,0,0,210000,5,1,5
28,130,2,1,5,2.0,1,3,0,20,275000,4,9,5
25,125,2,1,3,3.0,1,3,0,0,460000,4,6,5
20,125,2,1,3,2.0,1,3,0,40,310000,4,9,5
0,170,2,2,8,6.0,1,3,0,0,420000,5,5,7
9,235,2,1,3,2.0,1,3,0,100,800000,5,9,5
0,165,2,2,9,7.0,0,3,0,0,340000,4,1,5
4,160,2,1,3,0.0,0,3,0,50,510000,4,9,5
35,95,2,1,5,0.25,1,3,0,50,175000,3,9,5
2,120,2,2,4,1.0,0,3,0,122,515000,3,9,7
0,145,2,2,3,2.0,0,3,0,0,535000,4,8,5
30,120,2,1,3,3.0,1,3,0,50,525000,4,9,5
8,185,2,1,4,0.5,0,3,0,150,685000,5,9,5
25,85,2,1,3,2.0,0,3,0,0,117000,3,3,5
28,115,2,1,15,15.0,1,3,0,0,520000,4,9,6
10,160,2,1,3,3.0,0,3,0,30,297000,5,7,5
25,105,2,1,2,0.5,1,3,0,0,245000,4,9,5
23,140,0,1,4,2.0,1,3,0,0,385000,5,8,5
0,220,2,2,12,1.0,0,3,0,300,860000,5,7,7
40,95,2,1,3,1.0,1,3,0,30,250000,3,9,5
10,150,2,1,4,1.0,0,3,0,50,450000,4,9,5
35,105,2,1,3,2.0,0,3,0,300,510000,3,9,6
14,165,2,1,6,3.0,1,3,0,25,410000,5,6,5
20,125,2,1,3,1.0,0,3,0,25,156000,4,6,5
17,95,2,1,4,1.0,1,3,0,30,150000,3,9,5
8,75,2,1,10,1.0,0,3,1,220,435000,2,9,5
25,100,2,1,5,3.0,1,3,0,200,320000,4,8,6
5,110,2,1,3,0.5,1,3,0,0,165000,3,3,5
15,160,2,1,4,3.0,1,3,0,50,575000,4,9,5
9,300,2,1,4,4.0,1,3,0,50,549000,5,9,5
2,185,2,2,40,11.0,0,3,0,328,1150000,5,8,7
35,135,2,1,4,4.0,0,3,0,230,505000,4,9,6
9,300,2,1,4,4.0,1,3,0,50,549000,5,9,5
3,160,2,1,13,10.0,1,3,0,250,600000,4,7,6
10,94,2,1,4,1.0,0,3,0,30,125000,3,7,5
12,130,2,1,3,2.0,1,3,0,15,355000,4,9,5
25,200,2,1,3,3.0,1,3,0,0,980000,5,9,5
25,110,2,1,3,0.25,1,3,0,300,180000,4,4,6
8,185,2,1,4,0.5,1,3,0,150,685000,5,9,5
30,65,2,1,3,0.0,1,3,0,20,135000,2,4,5
40,115,2,1,7,6.0,0,3,0,115,350000,4,9,5
4,155,2,1,9,4.0,0,3,0,0,339000,4,5,6
30,125,2,1,7,0.5,1,3,0,200,375000,4,9,6
0,90,2,2,4,0.5,1,3,0,70,280000,2,9,5
30,100,2,1,2,0.5,1,3,1,300,270000,3,9,6
15,137,2,1,4,2.0,1,3,0,50,490000,4,9,5
10,200,2,1,8,2.0,0,3,0,0,299000,5,1,5
10,130,2,1,3,1.0,1,3,0,0,199000,4,5,5
18,145,2,1,7,0.5,1,3,0,360,425000,4,9,6
5,60,2,1,11,9.0,1,3,1,130,257000,2,7,7
7,117,2,1,13,4.0,1,3,0,135,175000,4,7,7
40,120,2,1,3,2.0,1,3,0,30,335000,4,9,5
5,120,2,1,4,4.0,1,3,0,100,450000,4,9,5
20,150,2,1,4,2.0,1,3,0,50,410000,4,9,5
7,117,2,1,13,9.0,0,3,0,135,165000,4,7,7
0,95,2,2,2,2.0,1,3,0,0,550000,3,9,5
1,135,2,1,4,2.0,1,3,0,0,415000,4,6,5
25,120,2,1,5,5.0,1,3,0,450,605000,4,9,6
0,170,2,2,7,2.0,1,3,0,0,340000,4,1,5
50,70,2,1,4,0.5,1,3,0,40,200000,3,9,5
12,120,2,1,4,1.0,0,3,0,0,490000,4,8,5
12,120,2,1,6,1.0,1,3,0,50,210000,4,9,5
15,120,2,1,3,1.0,1,3,0,0,230000,4,6,5
25,250,1,1,3,2.0,1,3,0,0,575000,6,9,5
20,76,2,1,5,4.0,1,3,0,0,252000,4,7,6
16,160,2,1,11,0.5,1,3,0,0,755000,4,9,5
15,135,2,1,4,4.0,1,3,0,20,250000,4,3,5
1,165,2,1,8,3.0,0,3,0,0,719000,4,7,5
0,120,2,2,4,4.0,1,3,0,0,297000,4,9,5
30,130,2,1,5,1.0,1,3,0,50,350000,4,6,5
0,125,2,2,3,3.0,1,3,0,200,640000,3,9,6
11,135,2,1,3,3.0,0,3,0,30,325000,4,10,5
2,150,2,2,13,1.0,1,3,0,250,126000,4,7,5
3,185,2,1,4,3.0,1,3,0,25,295000,6,3,5
7,168,2,1,16,6.0,1,3,0,230,620000,4,8,7
15,150,2,1,10,4.0,1,3,0,125,725000,4,9,5
42,105,2,1,3,2.0,1,3,0,0,335000,3,4,5
1,150,2,1,3,3.0,1,3,0,500,900000,3,9,7
0,180,2,2,5,5.0,1,3,0,50,480000,5,8,5
11,130,2,1,3,1.0,0,3,0,0,290000,4,6,5
25,90,2,1,2,0.0,1,3,0,50,227000,3,9,5
10,150,2,1,3,2.0,1,3,0,0,279000,4,5,5
10,120,2,1,3,3.0,1,3,0,0,245000,4,5,5
25,130,2,1,3,0.5,1,3,0,40,229000,4,6,5
3,130,2,1,4,4.0,1,3,0,30,296000,4,3,5
0,157,2,1,10,5.0,1,3,0,0,72000,5,3,6
0,160,2,2,18,13.0,1,3,0,0,489000,5,2,6
22,125,2,1,3,1.0,0,3,0,300,399000,4,9,5
5,168,2,1,29,21.0,1,3,0,0,995000,5,7,7
3,115,2,1,13,11.0,1,3,0,125,300000,4,3,5
20,190,2,1,3,1.0,1,3,0,100,500000,5,9,5
0,130,2,2,3,0.0,0,3,0,50,149000,4,6,5
0,149,2,2,9,8.0,0,3,0,0,85000,5,4,7
1,100,2,1,12,4.0,0,3,0,200,515000,3,7,7
17,145,2,1,4,1.0,1,3,0,80,350000,4,9,5
20,155,2,1,6,4.0,0,3,0,100,395000,4,5,5
0,120,2,2,3,3.0,1,3,0,30,165000,3,3,5
11,120,2,1,4,4.0,1,3,0,35,250000,4,3,5
40,85,2,1,4,0.5,0,3,0,280,285000,3,9,6
1,205,2,1,11,2.0,0,3,0,50,410000,5,1,5
5,130,2,1,10,8.0,1,3,0,400,595000,4,8,7
8,145,2,1,3,0.0,1,3,1,50,325000,4,6,5
